"Year","Month","Copper_Open","Copper_High","Copper_Low","Copper_Price"
2014,"(-0.866, 0.5)",0.6251,0.5967,0.7396,0.5411
2014,"(-1.0, -0.0)",0.6593,0.6186,0.8074,0.6231
2014,"(-0.866, -0.5)",0.6738,0.6391,0.8202,0.6601
2014,"(-0.5, -0.866)",0.7332,0.6942,0.8517,0.6772
2014,"(0.0, -1.0)",0.7139,0.7063,0.8764,0.7328
2014,"(0.5, -0.866)",0.6893,0.6824,0.8588,0.7122
2014,"(0.866, -0.5)",0.7032,0.686,0.8595,0.6893
2014,"(1.0, 0.0)",0.7145,0.6877,0.8503,0.7035
2014,"(0.866, 0.5)",0.6715,0.6772,0.8435,0.7113
2014,"(0.5, 0.866)",0.68,0.6413,0.8124,0.6719
2013,"(-0.0, 1.0)",0.6355,0.6545,0.8206,0.6791
2013,"(-0.5, 0.866)",0.6632,0.6241,0.8157,0.6351
2013,"(-0.866, 0.5)",0.7092,0.6815,0.8415,0.6634
2013,"(-1.0, -0.0)",0.7458,0.7284,0.873,0.7093
2013,"(-0.866, -0.5)",0.7319,0.7398,0.8803,0.7503
2013,"(-0.5, -0.866)",0.6652,0.7182,0.8423,0.7301
2013,"(0.0, -1.0)",0.628,0.6416,0.8126,0.6648
2013,"(0.5, -0.866)",0.6383,0.6279,0.8055,0.6293
2013,"(0.866, -0.5)",0.6712,0.6326,0.7777,0.6408
2013,"(1.0, 0.0)",0.6282,0.6293,0.8007,0.6699
2013,"(0.866, 0.5)",0.6717,0.6352,0.8145,0.63
2013,"(0.5, 0.866)",0.6283,0.6359,0.8142,0.6719
2012,"(-0.0, 1.0)",0.6059,0.5895,0.7752,0.6282
2012,"(-0.5, 0.866)",0.5847,0.5732,0.768,0.6057
2012,"(-0.866, 0.5)",0.6312,0.6019,0.7718,0.5851
2012,"(-1.0, -0.0)",0.6637,0.6521,0.7983,0.631
2012,"(-0.866, -0.5)",0.5996,0.6362,0.7858,0.6641
2012,"(-0.5, -0.866)",0.5736,0.5965,0.756,0.5992
2012,"(0.0, -1.0)",0.5873,0.5526,0.7262,0.5752
2012,"(0.5, -0.866)",0.729,0.6967,0.7792,0.5874
2012,"(0.866, -0.5)",0.7166,0.6897,0.8707,0.7289
2012,"(1.0, 0.0)",0.7438,0.7273,0.8797,0.7146
2012,"(0.866, 0.5)",0.679,0.7228,0.8384,0.7459
2012,"(0.5, 0.866)",0.6892,0.6767,0.8505,0.6796
2011,"(-0.0, 1.0)",0.6954,0.6671,0.8204,0.6823
2011,"(-0.5, 0.866)",0.6345,0.674,0.7997,0.6941
2011,"(-0.866, 0.5)",0.5296,0.6092,0.7119,0.6388
2011,"(-1.0, -0.0)",0.6049,0.5785,0.7252,0.5308
2011,"(-0.866, -0.5)",0.6623,0.6385,0.7165,0.605
2011,"(-0.5, -0.866)",0.654,0.6535,0.8261,0.6581
2011,"(0.0, -1.0)",0.712,0.6735,0.8024,0.656
2011,"(0.5, -0.866)",0.7981,0.7591,0.8334,0.7121
2011,"(0.866, -0.5)",0.7423,0.7543,0.8993,0.7988
2011,"(1.0, 0.0)",0.6682,0.7006,0.8432,0.7432
2011,"(0.866, 0.5)",0.6316,0.6743,0.7668,0.6679
2011,"(0.5, 0.866)",0.6247,0.5958,0.7746,0.631
2010,"(-0.0, 1.0)",0.566,0.59,0.7655,0.6248
2010,"(-0.5, 0.866)",0.549,0.5645,0.7434,0.5687
2010,"(-0.866, 0.5)",0.5367,0.5333,0.7384,0.548
2010,"(-1.0, -0.0)",0.4742,0.5017,0.6916,0.5367
2010,"(-0.866, -0.5)",0.5298,0.5225,0.686,0.4746
2010,"(-0.5, -0.866)",0.5023,0.4981,0.688,0.5289
2010,"(0.0, -1.0)",0.4916,0.4958,0.6783,0.5032
2010,"(0.5, -0.866)",0.5855,0.5535,0.6457,0.4904
2010,"(0.866, -0.5)",0.5637,0.5531,0.7463,0.5844
2010,"(1.0, 0.0)",0.5367,0.529,0.7311,0.566
2010,"(0.866, 0.5)",0.4829,0.5042,0.6782,0.5343
2010,"(0.5, 0.866)",0.5351,0.5297,0.6963,0.4821
2009,"(-0.0, 1.0)",0.5175,0.5004,0.6726,0.532
2009,"(-0.5, 0.866)",0.515,0.5083,0.696,0.516
2009,"(-0.866, 0.5)",0.4642,0.5153,0.6692,0.5138
2009,"(-1.0, -0.0)",0.46,0.4496,0.6507,0.4645
