"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2014","2.7970","2.7645","2.8170","2.7640","","1.23%"
"05/01/2014","2.7630","2.8075","2.8180","2.7530","","-1.57%"
"04/01/2014","2.8070","2.8113","2.8435","2.7590","","-0.06%"
"03/01/2014","2.8088","2.7980","2.8180","2.7930","","0.48%"
"02/01/2014","2.7955","2.8240","2.8277","2.7965","","-0.80%"
"01/01/2014","2.8180","2.7967","2.8380","2.7927","","0.90%"
"12/01/2013","2.7930","2.7990","2.8063","2.7552","","-0.25%"
"11/01/2013","2.8000","2.7730","2.8122","2.7720","","0.96%"
"10/01/2013","2.7735","2.7855","2.7940","2.7500","","-0.32%"
"09/01/2013","2.7825","2.8090","2.8125","2.7325","","-0.86%"
"08/01/2013","2.8065","2.7960","2.8263","2.7845","","0.45%"
"07/01/2013","2.7940","2.7820","2.8010","2.7503","","0.52%"
"06/01/2013","2.7795","2.7435","2.7970","2.6975","","1.40%"
"05/01/2013","2.7410","2.6435","2.7435","2.5980","","3.79%"
"04/01/2013","2.6410","2.5910","2.6570","2.5735","","2.03%"
"03/01/2013","2.5885","2.5810","2.6105","2.5807","","0.39%"
"02/01/2013","2.5785","2.5845","2.5928","2.5640","","-0.14%"
"01/01/2013","2.5820","2.5525","2.5925","2.5352","","1.25%"
"12/01/2012","2.5500","2.5790","2.5935","2.5443","","-1.03%"
"11/01/2012","2.5765","2.5915","2.6210","2.5758","","-0.48%"
"10/01/2012","2.5890","2.5975","2.6125","2.5756","","-0.23%"
"09/01/2012","2.5950","2.6115","2.6361","2.5919","","-0.54%"
"08/01/2012","2.6090","2.6260","2.6375","2.6082","","-0.55%"
"07/01/2012","2.6235","2.6655","2.6658","2.6170","","-1.48%"
"06/01/2012","2.6630","2.7075","2.7106","2.6360","","-1.55%"
"05/01/2012","2.7050","2.6405","2.7115","2.6340","","2.54%"
"04/01/2012","2.6380","2.6605","2.6685","2.6365","","-1.03%"
"03/01/2012","2.6655","2.6760","2.6805","2.6665","","-0.28%"
"02/01/2012","2.6730","2.6880","2.6905","2.6740","","-0.56%"
"01/01/2012","2.6880","2.6950","2.7040","2.6890","","-0.30%"
"12/01/2011","2.6960","2.6990","2.7025","2.6920","","-0.11%"
"11/01/2011","2.6990","2.7085","2.7185","2.6970","","-0.23%"
"10/01/2011","2.7053","2.7730","2.7790","2.7040","","-2.44%"
"09/01/2011","2.7730","2.7250","2.7915","2.7240","","1.54%"
"08/01/2011","2.7310","2.7400","2.7575","2.7255","","-0.21%"
"07/01/2011","2.7367","2.7480","2.7560","2.7339","","-0.45%"
"06/01/2011","2.7490","2.7680","2.7975","2.7469","","-0.61%"
"05/01/2011","2.7660","2.8370","2.8395","2.7460","","-2.12%"
"04/01/2011","2.8260","2.8030","2.8365","2.7960","","0.75%"
"03/01/2011","2.8050","2.7730","2.8165","2.7642","","1.17%"
"02/01/2011","2.7725","2.7689","2.8028","2.7628","","0.13%"
"01/01/2011","2.7690","2.8030","2.8185","2.7675","","-1.28%"
"12/01/2010","2.8050","2.8240","2.8321","2.7895","","-0.88%"
