"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2021","6.4604","6.4615","6.5057","6.4542","","-0.01%"
"07/01/2021","6.4609","6.4622","6.5132","6.4498","","0.07%"
"06/01/2021","6.4566","6.3676","6.4903","6.3611","","1.38%"
"05/01/2021","6.3688","6.4808","6.4840","6.3568","","-1.61%"
"04/01/2021","6.4730","6.5556","6.5792","6.4633","","-1.20%"
"03/01/2021","6.5518","6.4676","6.5802","6.4556","","1.22%"
"02/01/2021","6.4730","6.4309","6.4902","6.4292","","0.75%"
"01/01/2021","6.4250","6.5167","6.5170","6.4223","","-1.53%"
"12/01/2020","6.5250","6.5789","6.5875","6.5152","","-0.78%"
"11/01/2020","6.5760","6.6927","6.7508","6.5389","","-1.73%"
"10/01/2020","6.6919","6.7908","6.7909","6.6408","","-1.44%"
"09/01/2020","6.7896","6.8445","6.8565","6.7508","","-0.84%"
"08/01/2020","6.8474","6.9816","6.9885","6.8422","","-1.82%"
"07/01/2020","6.9744","7.0675","7.0743","6.9646","","-1.28%"
"06/01/2020","7.0651","7.1151","7.1400","7.0511","","-0.98%"
"05/01/2020","7.1348","7.0622","7.1800","7.0622","","1.06%"
"04/01/2020","7.0600","7.0825","7.1283","7.0275","","-0.29%"
"03/01/2020","7.0808","6.9742","7.1270","6.9094","","1.29%"
"02/01/2020","6.9906","6.9366","7.0434","6.9366","","0.78%"
"01/01/2020","6.9364","6.9632","6.9798","6.8403","","-0.36%"
"12/01/2019","6.9618","7.0270","7.0743","6.9567","","-0.98%"
"11/01/2019","7.0308","7.0395","7.0497","6.9682","","-0.10%"
"10/01/2019","7.0379","7.1315","7.1529","7.0314","","-1.54%"
"09/01/2019","7.1477","7.1568","7.1856","7.0623","","-0.09%"
"08/01/2019","7.1543","6.8842","7.1715","6.8842","","3.94%"
"07/01/2019","6.8833","6.8668","6.8971","6.8336","","0.27%"
"06/01/2019","6.8650","6.9050","6.9376","6.8339","","-0.55%"
"05/01/2019","6.9027","6.7349","6.9218","6.7336","","2.49%"
"04/01/2019","6.7347","6.7120","6.7502","6.6845","","0.35%"
"03/01/2019","6.7112","6.6942","6.7411","6.6690","","0.30%"
"02/01/2019","6.6912","6.7008","6.7950","6.6728","","-0.07%"
"01/01/2019","6.6958","6.8615","6.8832","6.6915","","-2.61%"
"12/01/2018","6.8755","6.9250","6.9340","6.8315","","-1.15%"
"11/01/2018","6.9558","6.9679","6.9703","6.8691","","-0.26%"
"10/01/2018","6.9737","6.9039","6.9774","6.8895","","1.54%"
"09/01/2018","6.8680","6.8426","6.8927","6.8065","","0.56%"
"08/01/2018","6.8300","6.8253","6.9349","6.7891","","0.39%"
"07/01/2018","6.8038","6.6285","6.8420","6.5989","","2.82%"
"06/01/2018","6.6171","6.4094","6.6417","6.3851","","3.24%"
"05/01/2018","6.4096","6.3531","6.4338","6.3284","","1.22%"
"04/01/2018","6.3325","6.2679","6.3481","6.2610","","0.95%"
"03/01/2018","6.2726","6.3281","6.3614","6.2429","","-0.88%"
"02/01/2018","6.3280","6.2965","6.3643","6.2525","","0.70%"
"01/01/2018","6.2841","6.4970","6.5368","6.2838","","-3.42%"
"12/01/2017","6.5063","6.6097","6.6241","6.5034","","-1.55%"
"11/01/2017","6.6090","6.6349","6.6518","6.5718","","-0.36%"
"10/01/2017","6.6328","6.6534","6.6634","6.5704","","-0.31%"
"09/01/2017","6.6533","6.5899","6.6835","6.4349","","0.98%"
"08/01/2017","6.5888","6.7266","6.7315","6.5799","","-2.01%"
"07/01/2017","6.7240","6.7761","6.8078","6.7213","","-0.82%"
"06/01/2017","6.7793","6.8008","6.8455","6.7614","","-0.45%"
"05/01/2017","6.8098","6.8935","6.9090","6.8101","","-1.16%"
"04/01/2017","6.8900","6.8871","6.9110","6.8737","","0.10%"
"03/01/2017","6.8832","6.8748","6.9215","6.8660","","0.24%"
"02/01/2017","6.8665","6.8675","6.8924","6.8508","","-0.15%"
"01/01/2017","6.8768","6.9567","6.9627","6.8314","","-0.95%"
"12/01/2016","6.9430","6.8926","6.9613","6.8625","","0.86%"
"11/01/2016","6.8837","6.7758","6.9240","6.7551","","1.63%"
"10/01/2016","6.7735","6.6680","6.7877","6.6680","","1.57%"
"09/01/2016","6.6685","6.6793","6.6873","6.6561","","-0.14%"
"08/01/2016","6.6776","6.6320","6.6838","6.6137","","0.61%"
"07/01/2016","6.6371","6.6480","6.7056","6.6361","","-0.13%"
"06/01/2016","6.6459","6.5863","6.6557","6.5548","","1.00%"
"05/01/2016","6.5798","6.4755","6.5869","6.4700","","1.64%"
"04/01/2016","6.4738","6.4625","6.5095","6.4563","","0.40%"
"03/01/2016","6.4480","6.5449","6.5549","6.4480","","-1.59%"
"02/01/2016","6.5525","6.5740","6.5824","6.4885","","-0.35%"
"01/01/2016","6.5752","6.5084","6.5972","6.5076","","1.28%"
"12/01/2015","6.4921","6.3976","6.4950","6.3894","","1.47%"
"11/01/2015","6.3981","6.3202","6.3990","6.3186","","1.27%"
"10/01/2015","6.3180","6.3561","6.3693","6.3169","","-0.59%"
"09/01/2015","6.3556","6.3764","6.3878","6.3517","","-0.32%"
"08/01/2015","6.3760","6.2095","6.4501","6.2085","","2.68%"
"07/01/2015","6.2097","6.2025","6.2130","6.2001","","0.16%"
"06/01/2015","6.2000","6.1984","6.2175","6.1936","","0.03%"
"05/01/2015","6.1980","6.2085","6.2109","6.1922","","-0.06%"
"04/01/2015","6.2018","6.1996","6.2210","6.1884","","0.05%"
"03/01/2015","6.1990","6.2730","6.2766","6.1800","","-1.12%"
"02/01/2015","6.2695","6.2500","6.2703","6.2368","","0.32%"
"01/01/2015","6.2495","6.2178","6.2568","6.1875","","0.72%"
"12/01/2014","6.2046","6.1431","6.2351","6.1431","","1.00%"
"11/01/2014","6.1429","6.1171","6.1494","6.1104","","0.50%"
"10/01/2014","6.1124","6.1390","6.1408","6.1077","","-0.42%"
"09/01/2014","6.1380","6.1442","6.1543","6.1248","","-0.08%"
"08/01/2014","6.1430","6.1740","6.1832","6.1363","","-0.50%"
"07/01/2014","6.1737","6.2035","6.2174","6.1702","","-0.48%"
"06/01/2014","6.2036","6.2475","6.2579","6.1993","","-0.70%"
"05/01/2014","6.2471","6.2529","6.2630","6.2182","","-0.19%"
"04/01/2014","6.2591","6.2172","6.2676","6.1858","","0.69%"
"03/01/2014","6.2164","6.1447","6.2340","6.1010","","1.17%"
"02/01/2014","6.1448","6.0624","6.1724","6.0575","","1.40%"
"01/01/2014","6.0600","6.0518","6.0615","6.0402","","0.10%"
"12/01/2013","6.0537","6.0927","6.0939","6.0502","","-0.63%"
"11/01/2013","6.0922","6.0947","6.1027","6.0871","","-0.03%"
"10/01/2013","6.0943","6.1215","6.1221","6.0802","","-0.42%"
"09/01/2013","6.1200","6.1198","6.1250","6.1143","","0.01%"
"08/01/2013","6.1193","6.1290","6.1336","6.1098","","-0.15%"
"07/01/2013","6.1284","6.1340","6.1451","6.1248","","-0.15%"
"06/01/2013","6.1374","6.1355","6.1522","6.1231","","0.05%"
"05/01/2013","6.1345","6.1649","6.1731","6.1206","","-0.49%"
"04/01/2013","6.1647","6.2108","6.2108","6.1611","","-0.74%"
"03/01/2013","6.2106","6.2232","6.2305","6.2083","","-0.17%"
"02/01/2013","6.2213","6.2216","6.2462","6.2206","","0.04%"
"01/01/2013","6.2188","6.2300","6.2321","6.2126","","-0.18%"
"12/01/2012","6.2303","6.2280","6.2563","6.2234","","0.06%"
"11/01/2012","6.2267","6.2374","6.2482","6.2207","","-0.17%"
"10/01/2012","6.2372","6.2841","6.2897","6.2366","","-0.75%"
"09/01/2012","6.2845","6.3481","6.3546","6.2837","","-1.01%"
"08/01/2012","6.3485","6.3611","6.3775","6.3438","","-0.21%"
"07/01/2012","6.3620","6.3544","6.3974","6.3462","","0.13%"
"06/01/2012","6.3537","6.3692","6.3792","6.3525","","-0.24%"
"05/01/2012","6.3688","6.3094","6.3783","6.2949","","0.93%"
"04/01/2012","6.3099","6.2980","6.3270","6.2932","","0.19%"
"03/01/2012","6.2980","6.2940","6.3471","6.2845","","0.07%"
"02/01/2012","6.2938","6.3079","6.3140","6.2880","","-0.24%"
"01/01/2012","6.3090","6.2945","6.3393","6.2923","","0.24%"
"12/01/2011","6.2939","6.3789","6.3789","6.2939","","-1.33%"
"11/01/2011","6.3788","6.3543","6.3872","6.3331","","0.37%"
"10/01/2011","6.3552","6.3750","6.3915","6.3368","","-0.42%"
"09/01/2011","6.3822","6.3812","6.4043","6.3788","","0.05%"
"08/01/2011","6.3790","6.4370","6.4461","6.3775","","-0.90%"
"07/01/2011","6.4370","6.4640","6.4760","6.4370","","-0.42%"
"06/01/2011","6.4642","6.4783","6.4878","6.4618","","-0.24%"
"05/01/2011","6.4795","6.4900","6.5100","6.4785","","-0.18%"
"04/01/2011","6.4910","6.5485","6.5510","6.4755","","-0.88%"
"03/01/2011","6.5486","6.5653","6.5773","6.5443","","-0.35%"
"02/01/2011","6.5716","6.5998","6.5998","6.5493","","-0.51%"
"01/01/2011","6.6050","6.5928","6.6400","6.5772","","0.22%"
"12/01/2010","6.5906","6.6675","6.6806","6.5891","","-1.15%"
"11/01/2010","6.6670","6.6696","6.6963","6.6178","","-0.06%"
"10/01/2010","6.6707","6.6895","6.6925","6.6398","","-0.31%"
"09/01/2010","6.6917","6.8083","6.8187","6.6827","","-1.70%"
"08/01/2010","6.8075","6.7742","6.8120","6.7635","","0.49%"
"07/01/2010","6.7740","6.7810","6.7840","6.7677","","-0.11%"
"06/01/2010","6.7817","6.8272","6.8331","6.7797","","-0.68%"
"05/01/2010","6.8278","6.8245","6.8323","6.8236","","0.04%"
"04/01/2010","6.8252","6.8257","6.8305","6.8230","","-0.01%"
"03/01/2010","6.8259","6.8254","6.8305","6.8248","","0.00%"
"02/01/2010","6.8261","6.8263","6.8348","6.8223","","-0.01%"
"01/01/2010","6.8269","6.8285","6.8296","6.8233","","0.00%"
"12/01/2009","6.8270","6.8282","6.8335","6.8245","","-0.01%"
"11/01/2009","6.8275","6.8279","6.8334","6.8256","","0.00%"
"10/01/2009","6.8275","6.8271","6.8359","6.8236","","0.01%"
"09/01/2009","6.8265","6.8308","6.8332","6.8249","","-0.06%"
"08/01/2009","6.8304","6.8310","6.8370","6.8296","","-0.02%"
"07/01/2009","6.8321","6.8309","6.8351","6.8294","","0.02%"
"06/01/2009","6.8305","6.8253","6.8404","6.8248","","0.03%"
"05/01/2009","6.8283","6.8230","6.8375","6.8108","","0.14%"
"04/01/2009","6.8185","6.8320","6.8414","6.8176","","-0.22%"
"03/01/2009","6.8334","6.8385","6.8468","6.8212","","-0.09%"
"02/01/2009","6.8396","6.8431","6.8521","6.8242","","0.07%"
"01/01/2009","6.8350","6.8310","6.8565","6.8220","","0.18%"
"12/01/2008","6.8230","6.8325","6.8900","6.8170","","-0.04%"
"11/01/2008","6.8259","6.8340","6.8412","6.8180","","-0.20%"
"10/01/2008","6.8395","6.8434","6.8591","6.8105","","-0.08%"
"09/01/2008","6.8451","6.8375","6.8543","6.8105","","-0.05%"
"08/01/2008","6.8487","6.8313","6.8813","6.8255","","0.25%"
"07/01/2008","6.8315","6.8530","6.8695","6.8105","","-0.33%"
"06/01/2008","6.8544","6.9401","6.9486","6.8541","","-1.27%"
"05/01/2008","6.9425","6.9995","7.0075","6.9360","","-0.66%"
"04/01/2008","6.9885","7.0131","7.0240","6.9815","","-0.34%"
"03/01/2008","7.0124","7.1019","7.1139","7.0100","","-1.40%"
