Date,Price,Open,High,Low,Vol.,Change %
1/01/2021,3.558,3.527,3.734,3.501,1.32M,1.11%
12/01/2020,3.519,3.464,3.641,3.4415,84.74K,2.49%
11/01/2020,3.4335,3.055,3.4915,3.045,5.80K,12.52%
10/01/2020,3.0515,3.016,3.218,2.8345,1.39M,0.63%
9/01/2020,3.0325,3.047,3.114,2.9145,154.72K,-0.75%
8/01/2020,3.0555,2.842,3.06,2.781,5.34K,6.20%
7/01/2020,2.877,2.7305,2.993,2.7065,1.42M,5.44%
6/01/2020,2.7285,2.4585,2.737,2.4575,138.67K,12.08%
5/01/2020,2.4345,2.34,2.468,2.284,937.48K,3.86%
4/01/2020,2.344,2.215,2.395,2.1635,112.46K,5.02%
3/01/2020,2.232,2.522,2.625,1.9725,1.84M,-12.13%
2/01/2020,2.54,2.511,2.635,2.491,250.02K,0.79%
1/01/2020,2.52,2.8035,2.886,2.509,1.44M,-9.90%
12/01/2019,2.797,2.649,2.855,2.6195,97.05K,5.31%
11/01/2019,2.656,2.6505,2.7325,2.621,13.26K,0.51%
10/01/2019,2.6425,2.574,2.697,2.515,1.23M,2.48%
9/01/2019,2.5785,2.5365,2.6975,2.4925,116.60K,1.24%
8/01/2019,2.547,2.665,2.67,2.5,14.50K,-4.66%
7/01/2019,2.6715,2.75,2.803,2.612,1.35M,-1.55%
6/01/2019,2.7135,2.625,2.7525,2.6045,135.23K,2.76%
5/01/2019,2.6405,2.9075,2.9135,2.6355,1.49M,-9.07%
4/01/2019,2.904,2.95,2.996,2.86,144.35K,-1.21%
3/01/2019,2.9395,2.9435,2.977,2.8345,1.26M,-0.29%
2/01/2019,2.948,2.7835,2.9755,2.76,149.76K,5.70%
1/01/2019,2.789,2.642,2.7985,2.543,1.40M,6.01%
12/01/2018,2.631,2.83,2.8505,2.6245,100.32K,-5.58%
11/01/2018,2.7865,2.672,2.8415,2.666,11.15K,4.48%
10/01/2018,2.667,2.801,2.8665,2.66,1.98M,-4.92%
9/01/2018,2.805,2.6505,2.8565,2.5755,204.45K,5.27%
8/01/2018,2.6645,2.8325,2.8325,2.566,11.51K,-6.20%
7/01/2018,2.8405,2.9695,2.973,2.6735,2.17M,-4.23%
6/01/2018,2.966,3.0775,3.323,2.9515,219.64K,-3.54%
5/01/2018,3.075,3.0705,3.1485,3.014,1.93M,0.03%
4/01/2018,3.074,3.051,3.2,2.9835,188.63K,1.22%
3/01/2018,3.037,3.1285,3.192,2.9375,1.92M,-3.05%
2/01/2018,3.1325,3.2165,3.2815,3.0425,207.35K,-2.31%
1/01/2018,3.2065,3.2965,3.3095,3.108,2.12M,-2.85%
12/01/2017,3.3005,3.059,3.322,2.9345,219.96K,8.02%
11/01/2017,3.0555,3.15,3.1825,3.044,9.43K,-1.69%
10/01/2017,3.108,2.9585,3.2595,2.926,1.93M,5.18%
9/01/2017,2.955,3.1005,3.1615,2.89,228.38K,-4.49%
8/01/2017,3.094,2.8905,3.124,2.874,12.50K,6.69%
7/01/2017,2.9,2.711,2.915,2.631,1.27M,6.97%
6/01/2017,2.711,2.589,2.7185,2.5285,158.54K,4.81%
5/01/2017,2.5865,2.599,2.6945,2.4725,1.45M,-0.81%
4/01/2017,2.6075,2.658,2.702,2.5045,174.86K,-1.97%
3/01/2017,2.66,2.714,2.7685,2.5585,1.37M,-1.99%
2/01/2017,2.714,2.7375,2.8205,2.6245,126.43K,-0.71%
